"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.741833334E-3,1.826352081E0,4.182153168E0,6.358776855E0
1.373783333E-2,2.104473724E0,3.804189148E0,6.796766052E0
2.373383334E-2,2.125280457E0,3.443139954E0,7.188351746E0
3.372883333E-2,2.391576691E0,3.634442139E0,6.318061523E0
4.372483333E-2,2.570005646E0,3.639232178E0,5.602848816E0
5.371983333E-2,2.243983612E0,2.823728027E0,5.904321899E0
6.371583333E-2,2.127825165E0,2.227667542E0,5.665568390E0
7.371083333E-2,2.127376099E0,2.268981628E0,5.209766235E0
8.370683333E-2,2.000290375E0,2.528242493E0,5.281766510E0
9.370283333E-2,1.996398468E0,2.486030273E0,5.807173920E0
1.036978333E-1,2.143093414E0,2.189197540E0,5.977669373E0
1.136938333E-1,2.187700653E0,2.004331970E0,5.569019165E0
1.236888333E-1,2.192939758E0,1.833986206E0,5.249284058E0
1.336848333E-1,2.106419678E0,1.689985657E0,4.789889374E0
1.436808333E-1,2.214045868E0,1.564696198E0,4.391717377E0
1.536758333E-1,2.572250977E0,1.413360901E0,4.184997253E0
1.636718333E-1,2.874322815E0,1.486109619E0,4.224066010E0
1.736668333E-1,2.997666321E0,1.845212860E0,5.033881989E0
1.836628333E-1,3.318748627E0,1.625320129E0,6.411766663E0
1.936578333E-1,3.461851044E0,1.034947815E0,8.331823883E0
2.036538333E-1,3.351979523E0,1.029708710E0,1.013572266E1
2.136498333E-1,3.497776337E0,8.705895996E-1,1.125659180E1
2.236448333E-1,3.948788452E0,-9.385482788E-2,1.075633209E1
2.336408333E-1,4.073628845E0,-6.780899048E-1,1.006836273E1
2.436358333E-1,3.813170471E0,2.522254944E-1,9.344617767E0
2.536318333E-1,3.078647919E0,6.259982300E-1,7.993976440E0
2.636278333E-1,2.578986969E0,2.168989563E-1,6.309978333E0
2.736228333E-1,2.329306183E0,6.526428223E-2,5.127587128E0
2.836188333E-1,2.179617462E0,-3.719764709E-1,4.620591431E0
2.936138333E-1,2.425106964E0,-1.010548553E0,4.901856537E0
3.036098333E-1,2.983146515E0,-1.401236115E0,5.305267639E0
3.136058333E-1,3.937412109E0,-1.620679779E0,5.336851959E0
3.236008333E-1,5.092110901E0,-1.591640167E0,4.869972839E0
3.335968333E-1,5.995332642E0,-1.591789856E0,4.465663605E0
3.435918333E-1,6.948700104E0,-1.836979980E0,4.694088593E0
3.535878333E-1,7.574698334E0,-2.054627380E0,6.681356049E0
3.635838333E-1,7.744894409E0,-2.226170654E0,8.970395966E0
3.735788333E-1,7.859106903E0,-2.488724670E0,1.063837738E1
3.835748333E-1,7.891439667E0,-2.585423584E0,1.122036713E1
3.935698333E-1,8.296048279E0,-2.498903503E0,9.758956146E0
4.035658333E-1,8.863069153E0,-1.963466949E0,7.995173950E0
4.135618333E-1,9.655670929E0,-1.575174408E0,6.580316162E0
4.235568333E-1,1.091006241E1,-1.479523315E0,5.526657257E0
4.335528333E-1,1.168485123E1,-1.169218597E0,5.564079437E0
4.435478333E-1,1.251038452E1,-9.313632202E-1,6.115083618E0
4.535438333E-1,1.289852737E1,-9.042695618E-1,7.196884003E0
4.635398333E-1,1.252310806E1,-9.409432983E-1,7.864495697E0
4.735348333E-1,1.232851273E1,-8.792715454E-1,8.235124969E0
4.835308333E-1,1.169473068E1,-1.022224274E0,8.012837219E0
4.935258333E-1,1.146675476E1,-1.237027588E0,7.548951874E0
5.035218333E-1,1.152378616E1,-1.269060974E0,6.847660217E0
5.135178333E-1,1.144609772E1,-1.263672180E0,6.458170166E0
5.235128333E-1,1.141481277E1,-1.451830902E0,5.857020264E0
5.335088333E-1,1.100107315E1,-1.536704407E0,5.710624695E0
5.435038333E-1,1.043270508E1,-1.635648651E0,5.541476440E0
5.534998333E-1,9.646240540E0,-1.835183716E0,5.388644257E0
5.634958333E-1,9.290131073E0,-1.882485352E0,4.879552917E0
5.734908333E-1,9.359736328E0,-2.050136719E0,4.226461029E0
5.834868333E-1,9.493707733E0,-2.270628204E0,3.967649231E0
