"Time (s)","X (hPa)"
-5.842994167E-1,9.916360474E2
4.176165833E-1,9.916401672E2
1.420061583E0,9.916443634E2
2.421465583E0,9.916509247E2
3.423829583E0,9.916564941E2
4.425810583E0,9.916593170E2
4.975284583E0,9.916593170E2
5.977208583E0,9.916549683E2
6.979254583E0,9.916408539E2
7.981133583E0,9.916203308E2
8.983345583E0,9.915936279E2
9.985641583E0,9.915658569E2
1.098764158E1,9.915431213E2
1.198950758E1,9.915232086E2
1.299152758E1,9.915020752E2
1.399344258E1,9.914793396E2
1.499555258E1,9.914543152E2
1.599741958E1,9.914221191E2
1.699914458E1,9.913951111E2
1.800101958E1,9.913724518E2
1.900312058E1,9.913484192E2
2.000504358E1,9.913209534E2
2.100690458E1,9.912923431E2
2.200850158E1,9.912528992E2
2.301052558E1,9.912171936E2
2.401243358E1,9.911888123E2
2.501469958E1,9.911627960E2
2.601635458E1,9.911385345E2
2.701822258E1,9.911174774E2
2.802032758E1,9.910883331E2
2.902219658E1,9.910585022E2
3.002359258E1,9.910308075E2
3.102550758E1,9.910068512E2
3.202756458E1,9.909826660E2
3.302940858E1,9.909587097E2
3.403148358E1,9.909304810E2
3.503319858E1,9.908982849E2
3.603542958E1,9.908735657E2
3.703717958E1,9.908489990E2
3.803942258E1,9.908238983E2
3.904058258E1,9.907981873E2
4.004250558E1,9.907713318E2
4.104458058E1,9.907374573E2
4.204650058E1,9.907099152E2
4.304847758E1,9.906909180E2
4.405033658E1,9.906786346E2
4.505318658E1,9.906759644E2
4.605453958E1,9.906759644E2
4.705654458E1,9.906759644E2
4.805896858E1,9.906704712E2
