"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.373783333E-2,-3.069602251E-1,3.039943278E-1,1.943074316E-1
2.373383334E-2,-4.484800696E-1,3.331442177E-1,2.193794996E-1
3.372883333E-2,-5.507771373E-1,4.067054391E-1,3.431983590E-1
4.372483333E-2,-6.868279576E-1,3.020282984E-1,4.012121260E-1
5.371983333E-2,-7.835613489E-1,2.665752545E-2,3.121277988E-1
6.371583333E-2,-7.975341678E-1,-1.979220510E-1,1.653759181E-1
7.371083333E-2,-7.525348663E-1,-3.409272730E-1,4.392895475E-2
8.370683333E-2,-6.757703424E-1,-5.004056692E-1,-9.524149820E-3
9.370283333E-2,-5.712548494E-1,-7.309412360E-1,-2.893722244E-2
1.036978333E-1,-4.493275881E-1,-8.760603666E-1,-1.930110529E-2
1.136938333E-1,-3.918990791E-1,-9.947408438E-1,7.513493299E-2
1.236888333E-1,-4.283207357E-1,-1.143118858E0,2.283380628E-1
1.336848333E-1,-4.921154380E-1,-1.309069037E0,3.143213987E-1
1.436808333E-1,-5.761757493E-1,-1.464730978E0,2.936211824E-1
1.536758333E-1,-7.914964557E-1,-1.581590176E0,1.901854575E-1
1.636718333E-1,-1.223246336E0,-1.760168195E0,1.478292197E-1
1.736668333E-1,-1.778574109E0,-1.921062231E0,1.736661792E-1
1.836628333E-1,-2.181360722E0,-1.967825413E0,2.101970315E-1
1.936578333E-1,-2.256408215E0,-1.910075307E0,3.200836182E-1
2.036538333E-1,-2.084304094E0,-1.840550780E0,5.295636058E-1
2.136498333E-1,-1.721862793E0,-1.631758928E0,6.675431728E-1
2.236448333E-1,-1.244762540E0,-1.383854866E0,6.031993032E-1
2.336408333E-1,-7.921136022E-1,-1.399245262E0,4.737640321E-1
2.436358333E-1,-5.233311653E-1,-1.701759577E0,4.074515998E-1
2.536318333E-1,-4.339675605E-1,-2.087843895E0,3.819254041E-1
2.636278333E-1,-4.918161929E-1,-2.502103090E0,4.508408308E-1
2.736228333E-1,-6.282312274E-1,-3.031316519E0,6.169649363E-1
2.836188333E-1,-6.875422597E-1,-3.612729788E0,8.076068163E-1
2.936138333E-1,-5.664443970E-1,-4.103068352E0,9.966667891E-1
3.036098333E-1,-3.126217723E-1,-4.378502846E0,1.166403651E0
3.136058333E-1,-2.072553784E-1,-4.317574024E0,1.305468559E0
3.236008333E-1,-5.472971201E-1,-3.940980196E0,1.401392937E0
3.335968333E-1,-1.165500402E0,-3.298722982E0,1.471274853E0
3.435918333E-1,-1.712922692E0,-2.856152296E0,1.529861450E0
3.535878333E-1,-1.933802724E0,-2.832760811E0,1.556407571E0
3.635838333E-1,-1.672915816E0,-3.099135637E0,1.569914579E0
3.735788333E-1,-1.030046940E0,-3.494012356E0,1.621709228E0
3.835748333E-1,-2.283667922E-1,-3.761365891E0,1.729578257E0
3.935698333E-1,2.956567109E-1,-3.593495131E0,1.834874868E0
4.035658333E-1,2.477818727E-1,-3.331182957E0,1.983989239E0
4.135618333E-1,-1.610072106E-1,-2.938711643E0,2.069231033E0
4.235568333E-1,-7.257419229E-1,-2.475342035E0,2.043241024E0
4.335528333E-1,-1.211016774E0,-1.931099892E0,1.937446833E0
4.435478333E-1,-1.492360353E0,-1.400809169E0,1.825765014E0
4.535438333E-1,-1.509517074E0,-1.005006671E0,1.686555982E0
4.635398333E-1,-1.395282984E0,-6.555219293E-1,1.585975885E0
4.735348333E-1,-1.101051688E0,-6.797983646E-1,1.526037812E0
4.835308333E-1,-8.501700163E-1,-9.274819493E-1,1.367909908E0
4.935258333E-1,-7.188287973E-1,-1.160534263E0,1.196485758E0
5.035218333E-1,-6.312955022E-1,-1.476793766E0,1.028143644E0
5.135178333E-1,-5.660797954E-1,-1.721835613E0,8.837828636E-1
5.235128333E-1,-4.982267022E-1,-1.877881646E0,7.833548188E-1
5.335088333E-1,-3.946351409E-1,-1.888368964E0,7.947006226E-1
5.435038333E-1,-2.627061307E-1,-1.805871129E0,8.960760236E-1
5.534998333E-1,-1.733769178E-1,-1.734768271E0,1.043911219E0
5.634958333E-1,-1.963429451E-1,-1.553233624E0,1.198440313E0
5.734908333E-1,-2.737377286E-1,-1.325730801E0,1.341079354E0
5.834868333E-1,-3.729639053E-1,-1.069801092E0,1.424820662E0
5.934818333E-1,-5.748962164E-1,-7.246491313E-1,1.423044562E0
6.034778333E-1,-8.500300646E-1,-2.991002202E-1,1.309776664E0
6.134738333E-1,-1.099495530E0,1.825315505E-1,1.148211598E0
6.234688333E-1,-1.216933012E0,5.612218976E-1,1.018582225E0
6.334648333E-1,-1.210090160E0,8.330612183E-1,9.544144273E-1
