"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.373783333E-2,2.669673157E1,-2.243488312E0,-2.721437073E1
2.373383334E-2,2.657159424E1,-2.225101471E0,-2.727429199E1
3.372883333E-2,2.658109283E1,-2.201145172E0,-2.724722290E1
4.372483333E-2,2.664916992E1,-2.172730446E0,-2.696636963E1
5.371983333E-2,2.663924408E1,-2.242507935E0,-2.691511536E1
6.371583333E-2,2.655400848E1,-2.052441597E0,-2.641770935E1
7.371083333E-2,2.644639587E1,-1.976438522E0,-2.675024414E1
8.370683333E-2,2.640904236E1,-1.792191505E0,-2.672238159E1
9.370283333E-2,2.620972443E1,-1.608423233E0,-2.644238281E1
1.036978333E-1,2.591542053E1,-1.493331909E0,-2.663214111E1
1.136938333E-1,2.565563965E1,-1.306703568E0,-2.646952820E1
1.236888333E-1,2.559121704E1,-1.295701981E0,-2.689657593E1
1.336848333E-1,2.524806213E1,-1.286119461E0,-2.699021912E1
1.436808333E-1,2.491059113E1,-1.334445953E0,-2.686631775E1
1.536758333E-1,2.460041046E1,-1.072680473E0,-2.725773621E1
1.636718333E-1,2.401914215E1,-8.982982635E-1,-2.714343262E1
1.736668333E-1,2.354116058E1,-6.945877075E-1,-2.756823730E1
1.836628333E-1,2.316175079E1,-1.907138824E-1,-2.763842773E1
1.936578333E-1,2.260943604E1,2.863845825E-1,-2.787657166E1
2.036538333E-1,2.202325439E1,7.950839996E-1,-2.839430237E1
2.136498333E-1,2.178394318E1,1.128318787E0,-2.817759705E1
2.236448333E-1,2.137190247E1,1.346609116E0,-2.843537903E1
2.336408333E-1,2.123220825E1,1.528079987E0,-2.820104980E1
2.436358333E-1,2.107201385E1,1.598220825E0,-2.792561340E1
2.536318333E-1,2.055912018E1,1.523683548E0,-2.878057861E1
2.636278333E-1,2.021346283E1,1.479055405E0,-2.893948364E1
2.736228333E-1,1.942826080E1,1.693918228E0,-2.926618958E1
2.836188333E-1,1.889392090E1,1.744865417E0,-2.945729065E1
2.936138333E-1,1.783258820E1,1.722249985E0,-2.971075439E1
3.036098333E-1,1.687808990E1,1.432794571E0,-3.016976929E1
3.136058333E-1,1.595092010E1,1.381992340E0,-3.036973572E1
3.236008333E-1,1.483898926E1,1.214962006E0,-3.092852783E1
3.335968333E-1,1.413393402E1,1.147500992E0,-3.114590454E1
3.435918333E-1,1.346621704E1,1.342113495E0,-3.149093628E1
3.535878333E-1,1.267008209E1,1.617490768E0,-3.188919067E1
3.635838333E-1,1.219467163E1,1.696214676E0,-3.192825317E1
3.735788333E-1,1.144356537E1,1.981184006E0,-3.223350525E1
3.835748333E-1,1.065115356E1,1.892053604E0,-3.246769714E1
3.935698333E-1,9.880767822E0,1.622900009E0,-3.270716858E1
4.035658333E-1,8.882682800E0,1.263408661E0,-3.352206421E1
4.135618333E-1,8.412055969E0,8.562202454E-1,-3.355998230E1
4.235568333E-1,7.721801758E0,8.415336609E-1,-3.396057129E1
4.335528333E-1,7.115310669E0,8.274307251E-1,-3.425259399E1
4.435478333E-1,6.995887756E0,1.028539658E0,-3.446705627E1
4.535438333E-1,6.505172729E0,1.362245560E0,-3.480026245E1
4.635398333E-1,6.709533691E0,1.513099670E0,-3.476554871E1
4.735348333E-1,6.638381958E0,1.727329254E0,-3.494767761E1
4.835308333E-1,6.424812317E0,1.993881226E0,-3.539433289E1
4.935258333E-1,6.375770569E0,2.142194748E0,-3.537678528E1
5.035218333E-1,6.013732910E0,2.146112442E0,-3.591372681E1
5.135178333E-1,5.725418091E0,2.191501617E0,-3.596044922E1
5.235128333E-1,5.189712524E0,2.406234741E0,-3.603604126E1
5.335088333E-1,4.585685730E0,2.465593338E0,-3.649438477E1
5.435038333E-1,4.280128479E0,2.365871429E0,-3.655354309E1
5.534998333E-1,3.400863647E0,2.436235428E0,-3.687539673E1
5.634958333E-1,3.141784668E0,2.219221115E0,-3.688333130E1
5.734908333E-1,2.781570435E0,2.511299133E0,-3.692424011E1
5.834868333E-1,2.210525513E0,2.487199783E0,-3.734197998E1
5.934818333E-1,2.233985901E0,2.461914062E0,-3.754493713E1
6.034778333E-1,1.955085754E0,2.689979553E0,-3.804983521E1
6.134738333E-1,1.949577332E0,2.973764420E0,-3.802171326E1
6.234688333E-1,2.365318298E0,3.302270889E0,-3.794885254E1
6.334648333E-1,2.374481201E0,3.726991653E0,-3.809649658E1
6.434598333E-1,2.915634155E0,4.063264847E0,-3.812640381E1
6.534558333E-1,3.016258240E0,4.595338821E0,-3.828749084E1
