"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.011291668e-3,-1.677596869e-1,-6.023164219e-1,-1.258433660e0,1.405198797e0
8.040708330e-3,-4.015231095e-1,-5.877898917e-1,-1.243111031e0,1.432495305e0
1.809270834e-2,-5.110214319e-1,-5.552130067e-1,-7.483249050e-1,1.062729763e0
2.814470834e-2,-6.441723264e-1,-6.475729939e-1,-1.127482926e0,1.451043251e0
3.819670834e-2,-7.695420387e-1,-7.036355129e-1,-1.435438233e0,1.774198637e0
4.824970833e-2,-6.309299178e-1,-6.887561032e-1,-1.612876085e0,1.863820484e0
5.830170834e-2,-2.714966016e-1,-8.290688136e-1,-1.982910111e0,2.166332848e0
6.835370834e-2,1.734605759e-2,-9.397843802e-1,-2.479372049e0,2.651562054e0
7.840570834e-2,8.938083082e-2,-9.290474305e-1,-2.968457140e0,3.111728756e0
8.845870834e-2,2.882501900e-2,-8.316945058e-1,-3.314370232e0,3.417249869e0
9.851070834e-2,2.564303733e-1,-5.693208763e-1,-3.736705847e0,3.788515987e0
1.085627083e-1,5.860410625e-1,-3.824163821e-1,-4.132699757e0,4.191526416e0
1.186147083e-1,6.553714985e-1,-3.910568127e-1,-4.029360160e0,4.100997505e0
1.286667083e-1,4.815908606e-1,-3.357120395e-1,-3.236678277e0,3.289486069e0
1.387197083e-1,1.481661057e-1,-2.450509608e-1,-2.312736343e0,2.330397511e0
1.487717083e-1,2.472365038e-1,-6.745333359e-1,-2.127533389e0,2.245555484e0
1.588237083e-1,6.763252151e-1,-1.728612363e-1,-1.956302356e0,2.077117164e0
1.688757083e-1,8.429017179e-1,1.183286414e-1,-1.229353702e0,1.495257669e0
1.789287083e-1,6.153459187e-1,3.839843130e-1,-1.515963748e0,1.680547720e0
1.889807083e-1,1.504992910e-1,5.348053470e-1,-2.102649978e0,2.174811193e0
1.990327083e-1,9.641835686e-2,8.244036126e-1,-2.218103251e0,2.368315825e0
2.090847083e-1,4.950468387e-1,7.741678441e-1,-3.231352633e-1,9.740757782e-1
2.191377083e-1,9.241728991e-2,5.356052461e-1,1.042203040e0,1.175415293e0
